geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
AT11	802.0 	748.8 	723.6 	687.1 	680.2 	675.3 	665.6 	650.4 	629.8 	620.8 	606.3 	: 
AT12	772.5 	719.1 	702.0 	677.2 	683.1 	676.8 	672.5 	657.6 	630.2 	610.0 	593.5 	: 
AT13	794.3 	731.1 	717.9 	702.0 	694.3 	687.9 	676.4 	659.3 	635.4 	620.4 	605.4 	: 
AT21	690.7 	655.9 	641.9 	628.8 	624.2 	612.4 	606.4 	598.9 	586.8 	571.7 	552.8 	: 
AT22	731.9 	686.9 	666.5 	647.6 	645.7 	638.7 	630.6 	617.7 	595.4 	576.7 	564.4 	: 
AT31	740.3 	688.7 	666.1 	641.0 	636.1 	633.6 	627.9 	615.3 	590.6 	574.4 	555.6 	: 
AT32	705.8 	649.4 	638.7 	626.0 	622.0 	615.5 	600.8 	588.9 	561.2 	543.3 	515.5 	: 
AT33	660.9 	625.7 	604.5 	588.4 	582.5 	574.5 	563.0 	556.1 	537.0 	524.6 	509.2 	: 
AT34	649.6 	621.3 	604.6 	591.5 	589.2 	593.9 	584.3 	574.0 	554.1 	539.4 	525.8 	: 
BE10	252.6 	705.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE21	474.8 	669.9 	664.3 	649.3 	640.6 	: 	: 	: 	: 	: 	: 	: 
BE22	472.0 	654.7 	648.1 	636.8 	631.4 	: 	: 	: 	: 	: 	: 	: 
BE23	496.1 	701.2 	686.6 	675.9 	664.7 	: 	: 	: 	: 	: 	: 	: 
BE24	456.3 	654.1 	639.9 	628.8 	616.2 	: 	: 	: 	: 	: 	: 	: 
BE25	474.9 	653.8 	642.1 	633.4 	627.3 	: 	: 	: 	: 	: 	: 	: 
BE31	525.4 	683.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE32	855.2 	828.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE33	819.7 	768.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE34	848.1 	781.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE35	856.6 	783.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BG11	: 	1228.0 	1560.3 	1152.7 	2608.9 	1822.3 	: 	: 	: 	: 	: 	: 
BG12	: 	1184.0 	1518.8 	1140.9 	2497.7 	1754.8 	: 	: 	: 	: 	: 	: 
BG13	: 	1284.5 	1621.1 	1192.6 	2557.9 	1855.9 	: 	: 	: 	: 	: 	: 
BG21	: 	1138.9 	1450.7 	1081.9 	2256.6 	1658.5 	: 	: 	: 	: 	: 	: 
