landuse,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
L0008,AT11	3703.5 	: 	3681.1 	3681.1 	: 	3681.2 	: 	: 	3669.9 	3669.9 	: 
L0008,AT12	18925.1 	: 	18928.6 	18928.6 	: 	18925.6 	: 	: 	18929.1 	18929.1 	: 
L0008,AT13	396.4 	: 	395.6 	395.6 	: 	395.6 	: 	: 	396.1 	396.1 	: 
L0008,AT21	9354.2 	: 	9364.0 	9364.0 	: 	9363.8 	: 	: 	9368.0 	9365.0 	: 
L0008,AT22	16244.8 	: 	16247.2 	16247.2 	: 	16246.2 	: 	: 	16252.6 	16252.6 	: 
L0008,AT31	11721.9 	: 	11724.1 	11724.1 	: 	11721.9 	: 	: 	11719.2 	11719.2 	: 
L0008,AT32	7051.5 	: 	7052.9 	7052.9 	: 	7052.6 	: 	: 	7053.7 	7053.7 	: 
L0008,AT33	12529.8 	: 	12528.9 	12528.9 	: 	12528.5 	: 	: 	12515.4 	12515.4 	: 
L0008,AT34	2535.5 	: 	2535.5 	2535.5 	: 	2534.8 	: 	: 	2533.8 	2533.8 	: 
L0008,BE10	161.0 	161.0 	161.0 	161.0 	161.0 	161.0 	161.0 	161.0 	161.0 	161.0 	: 
L0008,BE21	2792.0 	2792.0 	2792.0 	2792.0 	2792.0 	2792.0 	2792.0 	2792.0 	2792.0 	2792.0 	: 
L0008,BE22	2394.0 	2394.0 	2394.0 	2394.0 	2394.0 	2394.0 	2394.0 	2394.0 	2394.0 	2394.0 	: 
L0008,BE23	2946.0 	2946.0 	2946.0 	2946.0 	2946.0 	2946.0 	2946.0 	2946.0 	2946.0 	2946.0 	: 
L0008,BE24	2100.0 	2100.0 	2100.0 	2100.0 	2100.0 	2100.0 	2100.0 	2100.0 	2100.0 	2100.0 	: 
L0008,BE25	3132.0 	3132.0 	3132.0 	3132.0 	3132.0 	3132.0 	3132.0 	3132.0 	3132.0 	3132.0 	: 
L0008,BE31	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 	1091.0 	: 
L0008,BE32	3773.0 	3773.0 	3773.0 	3773.0 	3773.0 	3773.0 	3773.0 	3773.0 	3773.0 	3773.0 	: 
L0008,BE33	3845.0 	3845.0 	3845.0 	3845.0 	3845.0 	3845.0 	3845.0 	3845.0 	3845.0 	3845.0 	: 
L0008,BE34	4438.0 	4438.0 	4438.0 	4438.0 	4438.0 	4438.0 	4438.0 	4438.0 	4438.0 	4438.0 	: 
L0008,BE35	3656.0 	3656.0 	3656.0 	3656.0 	3656.0 	3656.0 	3656.0 	3656.0 	3656.0 	3656.0 	: 
L0008,CH01	8282.0 	8282.0 	8282.0 	8282.0 	8281.9 	8282.0 	8282.1 	8282.1 	8282.1 	8282.1 	: 
L0008,CH02	9780.8 	9780.8 	9780.8 	9781.0 	9781.0 	9781.0 	9781.0 	9781.0 	9781.0 	9781.0 	: 
L0008,CH03	1949.5 	1949.5 	1949.5 	1949.6 	1949.6 	1950.0 	1949.6 	1949.6 	1949.6 	1949.6 	: 
L0008,CH04	1660.9 	1660.9 	1660.9 	1660.9 	1660.9 	1661.0 	1660.9 	1661.0 	1661.0 	1661.0 	: 
L0008,CH05	11313.3 	11313.3 	11313.3 	11313.3 	11313.3 	11313.0 	11313.3 	11313.3 	11313.3 	11313.3 	: 
L0008,CH06	4267.5 	4267.5 	4267.5 	4267.2 	4267.3 	4267.0 	4267.3 	4267.3 	4267.3 	4267.3 	: 
L0008,CH07	2741.5 	2741.5 	2741.5 	2741.5 	2741.5 	2741.0 	2741.5 	2741.5 	2741.5 	2741.5 	: 
L0008,CZ01	485.3 	485.1 	485.1 	485.1 	485.1 	485.0 	485.0 	485.3 	485.3 	485.2 	: 
L0008,CZ02	10808.2 	10808.3 	10808.1 	10809.7 	10807.9 	10808.0 	10807.0 	10806.6 	10806.7 	10806.2 	: 
L0008,CZ03	17069.1 	17069.0 	17069.2 	17068.6 	17068.5 	17068.0 	17066.0 	17064.7 	17064.7 	17063.6 	: 
L0008,CZ04	8480.8 	8480.6 	8479.9 	8480.1 	8479.8 	8480.0 	8479.0 	8475.2 	8475.1 	8475.0 	: 
L0008,CZ05	12260.2 	12259.6 	12259.4 	12258.9 	12258.7 	12258.0 	12258.0 	12256.5 	12256.7 	12256.0 	: 
L0008,CZ06	13727.7 	13727.2 	13727.5 	13727.0 	13726.5 	13727.0 	13726.0 	13722.4 	13721.8 	13720.3 	: 
L0008,CZ07	8999.9 	8999.2 	8999.1 	9017.3 	9017.1 	9124.0 	9123.0 	9122.4 	9122.4 	9121.6 	: 
L0008,CZ08	5440.7 	5440.7 	5441.0 	5421.9 	5421.7 	5314.0 	5314.0 	5312.7 	5312.7 	5312.3 	: 
L0008,EE00	43431.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	43432.0 	: 
L0008,ES11	: 	: 	: 	: 	: 	: 	: 	29346.6 	29346.6 	29346.6 	: 
