indic_na,unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
B6N_U,PPCS_HAB,AT11	11523.9 i	11771.1 i	12318.3 i	13027.5 i	13923.5 i	13937.3 i	14402.1 i	15052.7 i	16057.0 i	16840.4 i	17825.5 i	18470.1 i
B6N_U,PPCS_HAB,AT12	12871.0 i	13021.4 i	13665.6 i	14525.4 i	15537.4 i	15403.4 i	15765.8 i	16322.2 i	16928.0 i	17831.3 i	18813.9 i	19544.9 i
B6N_U,PPCS_HAB,AT13	14683.3 i	14857.3 i	15374.7 i	16069.4 i	17056.0 i	16630.1 i	16928.8 i	17261.8 i	17699.9 i	18279.5 i	18977.4 i	19485.4 i
B6N_U,PPCS_HAB,AT21	11795.8 i	11922.2 i	12421.4 i	13006.9 i	14042.2 i	13967.3 i	14393.7 i	14954.2 i	15521.1 i	16523.0 i	17420.1 i	18127.9 i
B6N_U,PPCS_HAB,AT22	12031.6 i	12222.0 i	12755.1 i	13429.9 i	14425.1 i	14242.8 i	14685.7 i	15180.8 i	15686.9 i	16638.9 i	17560.7 i	18347.0 i
B6N_U,PPCS_HAB,AT31	12460.4 i	12643.3 i	13179.3 i	13796.6 i	14869.5 i	14654.6 i	15008.0 i	15522.6 i	16281.2 i	17261.5 i	18266.9 i	18949.4 i
B6N_U,PPCS_HAB,AT32	12879.1 i	12985.2 i	13544.3 i	14257.6 i	15264.9 i	15007.9 i	15416.9 i	15921.1 i	16505.8 i	17563.2 i	18509.2 i	19289.0 i
B6N_U,PPCS_HAB,AT33	12029.3 i	12018.6 i	12697.8 i	13400.2 i	14507.7 i	14402.3 i	15030.8 i	15632.8 i	16203.9 i	17043.9 i	17868.1 i	18588.3 i
B6N_U,PPCS_HAB,AT34	12591.4 i	12620.3 i	13488.1 i	14107.7 i	15568.7 i	15154.4 i	15641.8 i	16167.9 i	16716.1 i	17793.2 i	18803.9 i	19367.5 i
B6N_U,PPCS_HAB,BE10	11964.2 	12419.1 	12524.6 	12921.1 	14262.5 	14704.8 	14815.3 	14217.0 	14258.1 	14377.9 	14982.8 	15437.6 
B6N_U,PPCS_HAB,BE21	12450.8 	12725.3 	12939.1 	13448.4 	14864.9 	15451.8 	15797.8 	15111.7 	15361.8 	15745.8 	16323.8 	16782.0 
B6N_U,PPCS_HAB,BE22	11310.7 	11515.2 	11601.2 	12105.2 	13458.1 	14099.9 	14403.3 	13843.8 	14115.1 	14562.5 	15180.1 	15685.5 
B6N_U,PPCS_HAB,BE23	12526.2 	12844.2 	13044.1 	13598.6 	15023.8 	15576.5 	15923.9 	15206.7 	15505.0 	15970.6 	16625.4 	17229.6 
