geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
AT11	2.016 	4.503 	0.721 	7.227 	5.539 	4.82 	3.904 	5.424 	7.659 	2.266 	6.556 	14.89 p
AT12	9.555 	7.23 	12.804 	17.201 	17.172 	24.249 	21.267 	12.89 	8.958 	19.599 	18.228 	6.238 p
AT13	22.865 	17.41 	24.817 	38.444 	33.025 	46.642 	55.903 	56.798 	62.214 	69.951 	90.538 	46.935 p
AT21	10.91 	29.08 	20.089 	40.147 	19.743 	18.907 	53.131 	29.394 	18.548 	18.661 	15.949 	12.71 p
AT22	5.862 	5.588 	6.689 	8.239 	18.539 	18.073 	29.063 	18.918 	24.493 	19.845 	41.62 	13.738 p
AT31	4.009 	7.349 	6.963 	7.259 	6.409 	14.143 	8.289 	9.909 	10.285 	16.218 	16.175 	4.659 p
AT32	7.024 	: 	12.917 	9.291 	16.964 	10.353 	9.844 	22.569 	11.93 	12.443 	26.785 	15.208 p
AT33	4.592 	13.867 	9.836 	10.767 	14.233 	15.845 	12.446 	21.709 	8.952 	19.145 	13.626 	16.35 p
AT34	3.649 	5.527 	17.973 	17.314 	19.376 	19.764 	9.87 	15.285 	17.504 	6.943 	10.562 	21.495 p
BE10	19.66 	25.826 	31.914 	32.594 	23.329 	35.732 	23.651 	20.503 	33.393 	28.627 	16.087 	17.31 p
BE21	28.089 	33.296 	35.565 	42.14 	39.587 	46.845 	76.928 	40.515 	57.784 	54.638 	51.608 	34.418 p
BE22	2.451 	5.616 	8.713 	10.667 	10.326 	4.29 	8.803 	17.158 	7.905 	5.297 	18.278 	9.448 p
BE23	10.453 	29.504 	33.825 	36.67 	31.418 	34.994 	35.876 	33.114 	42.352 	47.099 	32.005 	33.406 p
BE24	30.795 	49.438 	43.646 	59.688 	45.008 	56.981 	64.205 	55.884 	58.843 	70.342 	52.196 	53.104 p
BE25	6.475 	5.304 	11.652 	13.69 	11.375 	14.203 	9.777 	13.625 	21.976 	15.766 	19.188 	10.882 p
BE31	12.8 	29.892 	106.297 	179.781 	95.203 	53.179 	60.218 	27.681 	55.861 	57.013 	38.365 	36.873 p
BE32	0.747 	2.515 	0.717 	3.546 	4.252 	5.641 	5.683 	4.338 	2.751 	2.737 	6.55 	2.286 p
BE33	2.496 	4.335 	4.986 	7.758 	10.368 	7.921 	9.1 	8.656 	9.829 	9.632 	8.411 	9.204 p
BE34	2.072 	: 	: 	: 	7.252 	7.638 	1.957 	2.299 	2.086 	2.734 	5.802 	5.092 p
BE35	12.004 	4.572 	8.499 	16.319 	32.417 	7.671 	22.601 	29.086 	21.751 	25.161 	22.723 	7.966 p
BG31	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.513 	: 	: 
BG32	: 	0.929 	0.563 	0.104 	: 	0.317 	: 	1.024 	: 	: 	: 	: 
BG33	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.329 	: 	: 
BG41	0.153 	: 	0.466 	0.093 	0.663 	0.933 	0.477 	0.356 	1.038 	2.081 	3.054 	: 
BG42	: 	: 	: 	: 	: 	: 	0.312 	: 	: 	0.592 	0.641 	: 
CY00	: 	1.501 	: 	0.527 	2.172 	7.641 	2.367 	6.922 	: 	0.614 	1.735 	5.997 p
CZ01	0.273 	0.739 	2.516 	1.081 	3.16 	3.497 	3.534 	2.281 	5.808 	5.322 	5.247 	2.298 p
CZ02	1.084 	: 	: 	0.902 	: 	0.78 	0.89 	1.01 	0.731 	2.141 	0.466 	0.17 p
CZ03	: 	1.693 	: 	0.424 	: 	: 	: 	: 	0.17 	1.276 	0.17 	0.144 p
CZ04	: 	: 	: 	: 	: 	0.884 	: 	0.374 	1.333 	1.775 	2.661 	: 
CZ05	: 	: 	0.671 	: 	0.671 	: 	: 	: 	0.898 	1.149 	1.085 	0.806 p
CZ06	: 	0.12 	0.301 	0.903 	: 	0.803 	0.304 	2.367 	0.61 	0.201 	1.529 	2.433 p
CZ07	: 	: 	0.402 	0.54 	0.161 	: 	: 	0.813 	0.407 	: 	1.627 	0.569 p
CZ08	: 	: 	: 	: 	: 	: 	: 	0.792 	2.222 	0.795 	2.135 	: 
DE11	40.88 	67.365 	76.383 	98.667 	112.082 	92.383 	94.615 	81.523 	93.386 	79.627 	70.246 	51.461 p
DE12	31.368 	31.543 	47.452 	41.251 	54.778 	80.971 	93.782 	77.955 	91.749 	66.048 	73.37 	37.963 p
DE13	44.896 	39.486 	54.927 	55.21 	49.587 	51.988 	52.113 	47.275 	53.749 	55.848 	48.555 	35.711 p
DE14	27.446 	30.834 	39.386 	49.712 	60.643 	67.209 	63.075 	47.771 	54.086 	45.762 	54.577 	26.153 p
DE21	145.232 	170.657 	232.589 	231.639 	247.362 	235.031 	190.832 	162.848 	139.794 	137.797 	145.77 	94.188 p
DE22	22.127 	20.964 	15.005 	26.716 	29.244 	24.877 	20.903 	18.028 	25.459 	15.817 	26.668 	27.751 p
DE23	61.244 	44.075 	55.114 	72.022 	84.88 	90.566 	112.877 	88.895 	113.082 	87.023 	87.963 	59.36 p
DE24	15.012 	10.623 	17.438 	23.236 	31.27 	28.799 	33.22 	28.517 	25.485 	31.937 	43.009 	47.628 p
DE25	42.669 	72.341 	82.473 	92.033 	115.905 	155.903 	132.035 	94.866 	103.404 	102.477 	132.911 	98.994 p
DE26	13.494 	13.929 	16.786 	18.753 	23.827 	21.55 	30.986 	25.456 	45.183 	18.243 	23.28 	20.249 p
DE27	18.042 	23.403 	29.39 	31.238 	37.879 	32.285 	31.621 	27.814 	26.638 	27.623 	18.693 	27.217 p
DE30	29.245 	37.539 	39.142 	43.28 	60.402 	53.087 	54.131 	48.287 	49.332 	52.148 	49.603 	35.922 p
DE41	6.38 	9.972 	10.109 	7.856 	: 	17.226 	11.653 	11.937 	11.743 	19.048 	26.528 	12.975 p
DE42	8.134 	8.11 	15.244 	14.224 	: 	19.869 	17.588 	22.854 	22.899 	23.843 	22.245 	16.341 p
DE50	6.458 	6.389 	9.824 	12.141 	12.427 	19.705 	11.87 	27.715 	26.465 	23.718 	27.356 	11.115 p
DE60	46.964 	46.675 	35.044 	22.881 	29.459 	28.868 	38.173 	32.225 	43.493 	42.909 	34.709 	17.883 p
DE71	33.382 	36.308 	40.954 	47.652 	62.105 	53.462 	49.188 	45.662 	57.499 	45.02 	46.91 	34.082 p
DE72	17.388 	33.205 	37.847 	41.632 	46.92 	35.015 	25.821 	28.351 	29.94 	25.784 	21.096 	11.848 p
DE73	7.452 	3.474 	3.401 	11.919 	8.573 	4.854 	7.852 	6.875 	10.69 	2.876 	13.289 	2.466 p
DE80	2.331 	2.652 	4.47 	5.604 	6.405 	5.57 	8.404 	3.703 	12.112 	7.275 	11.521 	8.856 p
DE91	19.421 	38.722 	34.932 	45.17 	32.079 	47.675 	37.388 	38.892 	32.245 	24.124 	17.195 	9.484 p
DE92	43.918 	48.832 	44.242 	72.341 	56.123 	53.514 	56.227 	57.669 	65.8 	49.967 	32.963 	26.849 p
DE93	8.844 	6.181 	14.674 	25.755 	22.238 	16.993 	12.587 	16.174 	27.202 	16.577 	21.037 	11.057 p
DE94	1.411 	1.613 	3.531 	4.456 	9.616 	4.508 	7.342 	8.419 	6.198 	8.081 	6.116 	4.201 p
DEA1	10.711 	15.98 	20.029 	25.334 	26.115 	23.634 	24.805 	21.094 	23.414 	20.077 	19.554 	15.986 p
DEA2	19.03 	23.02 	36.724 	59.051 	57.765 	67.641 	67.184 	48.307 	66.652 	59.538 	27.23 	17.299 p
