geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
AT11	201.1 	187.3 	186.9 	181.0 	180.2 	176.0 	175.7 	175.9 	178.3 	176.9 	172.4 	: 
AT12	186.8 	181.5 	178.6 	174.3 	175.7 	173.9 	175.0 	174.3 	171.0 	165.8 	166.3 	: 
AT13	201.4 	192.4 	189.5 	186.1 	185.2 	185.3 	187.1 	185.5 	182.0 	176.6 	176.5 	: 
AT21	188.3 	174.7 	174.7 	176.0 	173.1 	170.2 	166.9 	164.1 	160.9 	157.7 	157.6 	: 
AT22	188.4 	176.7 	175.7 	173.9 	175.3 	171.6 	170.0 	165.4 	160.8 	157.5 	157.0 	: 
AT31	179.8 	169.1 	166.5 	163.1 	162.2 	160.3 	159.8 	158.8 	156.6 	153.4 	151.6 	: 
AT32	175.5 	167.7 	167.0 	163.5 	162.5 	161.1 	158.6 	159.7 	153.1 	148.0 	140.0 	: 
AT33	179.1 	175.1 	166.2 	162.9 	162.6 	163.9 	160.3 	161.4 	156.1 	155.2 	150.0 	: 
AT34	179.4 	175.1 	166.0 	160.8 	157.8 	162.7 	165.4 	162.8 	159.6 	156.8 	157.3 	: 
BE10	72.3 	198.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE21	138.5 	194.2 	191.0 	185.8 	183.5 	: 	: 	: 	: 	: 	: 	: 
BE22	136.1 	188.7 	183.0 	179.6 	175.7 	: 	: 	: 	: 	: 	: 	: 
BE23	144.8 	204.7 	198.6 	194.0 	190.8 	: 	: 	: 	: 	: 	: 	: 
BE24	133.7 	191.1 	183.3 	178.4 	174.7 	: 	: 	: 	: 	: 	: 	: 
BE25	141.7 	194.6 	187.7 	182.2 	176.9 	: 	: 	: 	: 	: 	: 	: 
BE31	149.4 	199.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE32	223.1 	216.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE33	222.4 	201.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE34	234.5 	203.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE35	230.6 	206.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BG11	: 	146.5 	163.6 	141.7 	240.9 	192.5 	: 	: 	: 	: 	: 	: 
BG12	: 	134.2 	156.3 	135.9 	231.0 	200.6 	: 	: 	: 	: 	: 	: 
BG13	: 	156.0 	182.3 	157.8 	266.1 	228.2 	: 	: 	: 	: 	: 	: 
BG21	: 	172.2 	199.7 	161.7 	278.2 	230.5 	: 	: 	: 	: 	: 	: 
BG22	: 	167.4 	191.4 	157.5 	260.7 	228.1 	: 	: 	: 	: 	: 	: 
BG23	: 	156.7 	178.3 	149.7 	227.3 	185.2 	: 	: 	: 	: 	: 	: 
BG31	: 	: 	: 	: 	: 	: 	: 	147.3 	152.3 	152.8 	142.1 	: 
