geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 
AT11	: 	17.0 	16.8 	16.8 	16.8 	16.5 	16.6 	16.3 	16.2 	16.0 
AT12	: 	17.8 	17.7 	17.6 	17.6 	17.5 	17.3 	17.1 	17.2 	17.2 
AT13	: 	24.9 	23.6 	23.5 	23.9 	23.7 	24.2 	24.4 	24.5 	24.7 
AT21	: 	19.2 	18.8 	18.9 	18.8 	18.7 	18.8 	18.4 	18.6 	18.5 
AT22	: 	21.5 	20.5 	20.3 	20.2 	20.2 	20.4 	19.9 	19.7 	19.8 
AT31	: 	20.8 	20.5 	20.3 	20.4 	20.3 	20.3 	19.9 	19.9 	19.8 
AT32	: 	22.3 	21.8 	21.7 	21.7 	21.8 	21.8 	21.6 	21.8 	21.9 
AT33	: 	23.5 	22.7 	22.5 	22.6 	22.6 	22.5 	22.1 	22.0 	21.9 
AT34	: 	19.8 	19.7 	19.8 	20.2 	20.2 	19.9 	19.6 	19.6 	19.6 
BE10	34.7 	37.1 	30.9 	30.1 	34.9 	35.0 	35.6 	35.9 	35.9 	35.1 
BE21	24.1 	24.5 	25.0 	25.6 	24.8 	24.8 	24.9 	24.7 	24.9 	24.7 
BE22	25.1 	25.5 	26.4 	26.7 	25.5 	26.2 	26.4 	26.1 	25.3 	24.6 
BE23	25.3 	26.1 	27.2 	27.5 	26.5 	27.0 	27.1 	26.9 	27.0 	27.2 
BE24	21.8 	22.1 	22.6 	22.3 	21.8 	22.9 	23.3 	23.2 	23.9 	23.9 
BE25	24.0 	25.1 	25.9 	26.0 	24.8 	25.0 	25.2 	24.7 	24.4 	23.8 
BE31	27.0 	26.8 	25.6 	25.7 	27.8 	27.5 	27.9 	27.7 	28.0 	27.9 
BE32	25.3 	25.2 	22.7 	22.2 	26.0 	25.9 	26.6 	26.4 	26.0 	25.6 
BE33	26.0 	25.9 	23.3 	21.7 	25.6 	25.5 	26.1 	26.1 	26.0 	25.7 
BE34	27.6 	27.5 	24.7 	24.7 	28.5 	28.3 	28.9 	28.5 	28.3 	28.2 
BE35	26.4 	26.7 	24.4 	24.0 	27.1 	26.9 	27.3 	27.5 	27.1 	26.8 
