geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
AT	26.9 	26.9 	26.3 	26.1 	26.3 	26.3 	26.3 	26.4 	25.9 	25.0 	24.6 	24.1 	23.4 
BE	27.5 	27.4 	27.4 	27.5 	27.4 	28.4 	28.4 	28.4 	27.8 	28.2 	28.3 	27.9 	27.9 
BG	17.8 	24.3 	21.2 	23.6 	26.1 	27.2 	28.9 	30.1 	29.1 	30.0 	32.6 	36.8 	41.9 
CZ	16.8 	16.5 	18.2 	20.8 	22.2 	22.8 	24.4 	24.7 	24.9 	24.3 	25.1 	25.4 	26.5 
DE	28.6 	28.5 	28.8 	29.2 	29.2 	29.2 	29.4 	29.1 	29.3 	29.2 	29.1 	28.9 	28.6 
DK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	18.8 	18.1 	17.3 
EE	0.0 	29.4 	33.4 	34.2 	34.6 	36.5 	37.1 	38.8 	41.5 	42.2 	39.7 	43.2 	41.6 
ES	19.1 	19.5 	19.8 	20.2 	21.4 	21.4 	21.0 	20.4 	19.8 	19.4 	19.2 	19.1 	18.9 
EU27	: 	: 	: 	: 	35.4 	35.5 	35.2 	34.5 	34.1 	33.4 	33.4 	33.0 	32.7 
FI	16.3 	17.3 	17.6 	19.9 	21.7 	21.7 	22.1 	20.8 	19.2 	19.1 	19.3 	20.2 	19.7 
FR	22.1 	22.6 	21.7 	22.5 	23.2 	23.9 	23.8 	23.4 	23.6 	22.6 	23.3 	23.1 	24.3 
GR	13.3 	13.0 	12.6 	12.8 	13.3 	22.8 	23.9 	25.8 	26.7 	27.6 	27.3 	26.3 	28.8 
HR	: 	: 	: 	: 	: 	: 	29.7 	28.4 	30.9 	32.0 	32.9 	32.7 	31.4 
HU	29.4 	31.9 	33.8 	35.1 	36.5 	39.3 	37.4 	39.6 	37.6 	37.8 	40.1 	42.3 	41.3 
IE	21.1 	21.9 	24.1 	26.6 	24.8 	25.8 	26.1 	29.4 	30.0 	28.9 	30.7 	31.4 	33.2 
IT	26.9 	26.8 	26.5 	26.5 	26.3 	26.3 	26.0 	25.6 	25.5 	25.5 	24.9 	24.4 	24.2 
LT	12.3 	12.9 	12.5 	16.4 	18.1 	20.8 	21.8 	24.5 	24.2 	23.5 	25.1 	27.7 	28.9 
LV	0.0 	31.6 	36.2 	41.3 	46.0 	46.9 	45.2 	51.9 	49.0 	52.8 	51.4 	46.8 	45.6 
MK	: 	: 	: 	: 	: 	34.5 	40.0 	39.5 	39.1 	40.2 	39.7 	40.4 	40.7 
NL	15.0 	15.5 	15.5 	15.6 	16.5 	16.7 	16.7 	17.2 	17.4 	17.9 	18.8 	18.4 	17.3 
PL	12.0 	12.5 	13.3 	14.6 	31.7 	32.8 	31.1 	32.7 	32.4 	32.2 	33.3 	34.4 	34.5 
PT	26.9 	26.1 	26.3 	27.0 	26.2 	27.3 	27.0 	26.9 	27.3 	27.6 	28.1 	27.1 	26.6 
RO	12.8 	13.8 	15.5 	22.7 	26.1 	30.2 	28.0 	30.0 	29.3 	29.2 	33.7 	34.4 	35.3 
SE	11.3 	12.6 	14.4 	15.5 	16.2 	15.8 	14.9 	15.3 	14.8 	15.6 	16.3 	15.0 	14.4 
SI	19.3 	19.8 	18.7 	18.6 	19.7 	19.5 	20.1 	20.3 	22.2 	21.9 	21.8 	22.4 	22.3 
SK	28.2 	27.4 	28.0 	27.6 	27.2 	27.7 	27.4 	28.1 	28.6 	29.1 	33.6 	34.4 	35.3 
TR	39.3 	39.0 	37.6 	35.9 	35.3 	37.0 	35.7 	: 	: 	: 	: 	: 	: 
UK	21.3 	22.1 	24.0 	24.8 	26.0 	27.3 	27.2 	27.9 	27.9 	27.5 	27.5 	28.1 	29.0 
